,SUMMARY,SCIENTIFIC JUSTIFICATION,PROCEDURE,OBJECTIVES,METHODOLOGY,ELIGIBILITY,DATA MANAGEMENT,STATISTICAL,total
patients,708.0,86.0,145.0,42.0,49.0,90.0,0.0,100.0,1220.0
study,366.0,27.0,334.0,17.0,22.0,108.0,89.0,39.0,1002.0
treatment,336.0,26.0,121.0,33.0,50.0,87.0,0.0,84.0,737.0
day,252.0,0.0,72.0,39.0,53.0,0.0,0.0,0.0,416.0
must,0.0,0.0,365.0,0.0,0.0,30.0,0.0,0.0,395.0
trial,209.0,0.0,87.0,0.0,0.0,36.0,0.0,54.0,386.0
investigator,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,383.0
months,233.0,0.0,0.0,20.0,53.0,67.0,0.0,0.0,373.0
clinical,174.0,12.0,70.0,26.0,36.0,0.0,35.0,0.0,353.0
disease,216.0,30.0,0.0,16.0,28.0,57.0,0.0,0.0,347.0
patient,112.0,0.0,127.0,0.0,0.0,67.0,0.0,0.0,306.0
inclusion,183.0,0.0,0.0,12.0,31.0,80.0,0.0,0.0,306.0
sponsor,0.0,0.0,233.0,0.0,0.0,0.0,48.0,0.0,281.0
cell,193.0,28.0,0.0,14.0,0.0,41.0,0.0,0.0,276.0
data,0.0,0.0,161.0,0.0,0.0,0.0,79.0,32.0,272.0
gvhd,182.0,21.0,0.0,31.0,26.0,0.0,0.0,0.0,260.0
participant,0.0,0.0,238.0,0.0,0.0,0.0,19.0,0.0,257.0
response,101.0,0.0,0.0,28.0,72.0,0.0,0.0,52.0,253.0
form,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,241.0
days,141.0,0.0,0.0,21.0,30.0,43.0,0.0,0.0,235.0
non,121.0,13.0,0.0,19.0,23.0,0.0,22.0,34.0,232.0
years,143.0,22.0,0.0,0.0,0.0,64.0,0.0,0.0,229.0
criteria,128.0,0.0,0.0,0.0,36.0,63.0,0.0,0.0,227.0
adverse,0.0,0.0,195.0,0.0,23.0,0.0,0.0,0.0,218.0
safety,0.0,0.0,149.0,14.0,23.0,0.0,0.0,29.0,215.0
sae,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,204.0
12,122.0,0.0,0.0,23.0,58.0,0.0,0.0,0.0,203.0
10,185.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0
primary,102.0,0.0,0.0,13.0,25.0,0.0,0.0,53.0,193.0
severe,140.0,18.0,0.0,0.0,0.0,31.0,0.0,0.0,189.0
week,106.0,0.0,0.0,27.0,53.0,0.0,0.0,0.0,186.0
pregnancy,0.0,0.0,157.0,0.0,0.0,28.0,0.0,0.0,185.0
number,122.0,0.0,0.0,0.0,27.0,0.0,0.0,31.0,180.0
dose,130.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,176.0
transplantation,147.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
using,0.0,0.0,0.0,0.0,38.0,0.0,0.0,134.0,172.0
efficacy,98.0,15.0,0.0,21.0,0.0,0.0,0.0,38.0,172.0
report,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0
follow,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,169.0
active,102.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,169.0
uveitis,132.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,167.0
cells,123.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,163.0
research,0.0,0.0,115.0,0.0,0.0,0.0,48.0,0.0,163.0
randomized,104.0,15.0,0.0,0.0,0.0,0.0,0.0,42.0,161.0
donor,100.0,22.0,0.0,0.0,0.0,38.0,0.0,0.0,160.0
notification,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,160.0
event,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,160.0
arm,103.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,160.0
msc,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
case,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,158.0
first,117.0,12.0,0.0,0.0,28.0,0.0,0.0,0.0,157.0
use,103.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,156.0
relapse,98.0,0.0,0.0,24.0,32.0,0.0,0.0,0.0,154.0
information,0.0,0.0,103.0,0.0,0.0,0.0,49.0,0.0,152.0
therapy,104.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,151.0
subject,0.0,0.0,96.0,0.0,0.0,33.0,18.0,0.0,147.0
transplant,133.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0
et,118.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
department,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,139.0
anti,117.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
risk,121.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
al,109.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
following,0.0,0.0,65.0,0.0,28.0,41.0,0.0,0.0,134.0
consent,0.0,0.0,83.0,0.0,0.0,48.0,0.0,0.0,131.0
defined,0.0,0.0,0.0,0.0,94.0,32.0,0.0,0.0,126.0
mg,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
