,SUMMARY,SCIENTIFIC JUSTIFICATION,PROCEDURE,OBJECTIVES,METHODOLOGY,ELIGIBILITY,DATA MANAGEMENT,STATISTICAL,total
patients,5664.0,688.0,1160.0,336.0,392.0,608.0,0.0,800.0,9648.0
study,2928.0,216.0,2672.0,136.0,176.0,848.0,712.0,312.0,8000.0
treatment,2688.0,208.0,968.0,264.0,400.0,656.0,0.0,672.0,5856.0
day,2016.0,0.0,576.0,312.0,424.0,0.0,0.0,0.0,3328.0
must,0.0,0.0,2920.0,0.0,0.0,224.0,0.0,0.0,3144.0
trial,1672.0,0.0,696.0,0.0,0.0,280.0,0.0,432.0,3080.0
investigator,0.0,0.0,3064.0,0.0,0.0,0.0,0.0,0.0,3064.0
months,1864.0,0.0,0.0,160.0,424.0,512.0,0.0,0.0,2960.0
clinical,1392.0,96.0,560.0,208.0,288.0,0.0,280.0,0.0,2824.0
disease,1728.0,240.0,0.0,128.0,224.0,456.0,0.0,0.0,2776.0
inclusion,1464.0,0.0,0.0,96.0,248.0,640.0,0.0,0.0,2448.0
patient,896.0,0.0,1016.0,0.0,0.0,488.0,0.0,0.0,2400.0
sponsor,0.0,0.0,1864.0,0.0,0.0,0.0,384.0,0.0,2248.0
cell,1544.0,224.0,0.0,112.0,0.0,328.0,0.0,0.0,2208.0
data,0.0,0.0,1288.0,0.0,0.0,0.0,632.0,256.0,2176.0
gvhd,1456.0,168.0,0.0,248.0,208.0,0.0,0.0,0.0,2080.0
participant,0.0,0.0,1904.0,0.0,0.0,0.0,152.0,0.0,2056.0
response,808.0,0.0,0.0,224.0,576.0,0.0,0.0,416.0,2024.0
form,0.0,0.0,1928.0,0.0,0.0,0.0,0.0,0.0,1928.0
days,1128.0,0.0,0.0,168.0,240.0,328.0,0.0,0.0,1864.0
non,968.0,104.0,0.0,152.0,184.0,0.0,176.0,272.0,1856.0
years,1144.0,176.0,0.0,0.0,0.0,488.0,0.0,0.0,1808.0
criteria,1024.0,0.0,0.0,0.0,288.0,472.0,0.0,0.0,1784.0
10,1480.0,88.0,0.0,0.0,0.0,208.0,0.0,0.0,1776.0
adverse,0.0,0.0,1560.0,0.0,184.0,0.0,0.0,0.0,1744.0
safety,0.0,0.0,1192.0,112.0,184.0,0.0,0.0,232.0,1720.0
sae,0.0,0.0,1632.0,0.0,0.0,0.0,0.0,0.0,1632.0
12,976.0,0.0,0.0,184.0,464.0,0.0,0.0,0.0,1624.0
primary,816.0,0.0,0.0,104.0,200.0,0.0,0.0,424.0,1544.0
severe,1120.0,144.0,0.0,0.0,0.0,232.0,0.0,0.0,1496.0
week,848.0,0.0,0.0,216.0,424.0,0.0,0.0,0.0,1488.0
pregnancy,0.0,0.0,1256.0,0.0,0.0,208.0,0.0,0.0,1464.0
number,976.0,0.0,0.0,0.0,216.0,0.0,0.0,248.0,1440.0
transplantation,1176.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.0
dose,1040.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,1400.0
using,0.0,0.0,0.0,0.0,304.0,0.0,0.0,1072.0,1376.0
efficacy,784.0,120.0,0.0,168.0,0.0,0.0,0.0,304.0,1376.0
report,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,1360.0
follow,0.0,0.0,1352.0,0.0,0.0,0.0,0.0,0.0,1352.0
active,816.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,1344.0
uveitis,1056.0,184.0,0.0,96.0,0.0,0.0,0.0,0.0,1336.0
cells,984.0,192.0,0.0,128.0,0.0,0.0,0.0,0.0,1304.0
research,0.0,0.0,920.0,0.0,0.0,0.0,384.0,0.0,1304.0
randomized,832.0,120.0,0.0,0.0,0.0,0.0,0.0,336.0,1288.0
donor,800.0,176.0,0.0,0.0,0.0,304.0,0.0,0.0,1280.0
event,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,1280.0
arm,824.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,1280.0
notification,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,1280.0
msc,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0
case,0.0,0.0,1264.0,0.0,0.0,0.0,0.0,0.0,1264.0
first,936.0,96.0,0.0,0.0,224.0,0.0,0.0,0.0,1256.0
use,824.0,144.0,0.0,0.0,0.0,280.0,0.0,0.0,1248.0
relapse,784.0,0.0,0.0,192.0,256.0,0.0,0.0,0.0,1232.0
information,0.0,0.0,824.0,0.0,0.0,0.0,392.0,0.0,1216.0
therapy,832.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,1208.0
subject,0.0,0.0,768.0,0.0,0.0,264.0,144.0,0.0,1176.0
transplant,1064.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0
et,944.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0
anti,936.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0
risk,968.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0
department,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,1112.0
al,872.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0
following,0.0,0.0,520.0,0.0,224.0,312.0,0.0,0.0,1056.0
consent,0.0,0.0,664.0,0.0,0.0,368.0,0.0,0.0,1032.0
mg,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0
defined,0.0,0.0,0.0,0.0,752.0,256.0,0.0,0.0,1008.0
used,0.0,88.0,600.0,0.0,0.0,0.0,0.0,304.0,992.0
blood,872.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,968.0
analysis,0.0,0.0,0.0,0.0,192.0,0.0,0.0,760.0,952.0
documents,0.0,0.0,936.0,0.0,0.0,0.0,0.0,0.0,936.0
refractory,808.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0
may,0.0,120.0,800.0,0.0,0.0,0.0,0.0,0.0,920.0
acute,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0
kg,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0
serious,0.0,0.0,864.0,0.0,0.0,0.0,0.0,0.0,864.0
performed,0.0,0.0,496.0,0.0,0.0,0.0,0.0,360.0,856.0
reports,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,824.0
subjects,0.0,0.0,0.0,0.0,0.0,272.0,168.0,376.0,816.0
de,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0
rate,0.0,0.0,0.0,120.0,320.0,0.0,0.0,368.0,808.0
duration,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0
one,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0
results,0.0,96.0,512.0,0.0,0.0,0.0,176.0,0.0,784.0
complete,0.0,0.0,576.0,0.0,200.0,0.0,0.0,0.0,776.0
french,0.0,0.0,488.0,0.0,0.0,0.0,264.0,0.0,752.0
initial,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,744.0
time,0.0,0.0,0.0,112.0,360.0,0.0,0.0,248.0,720.0
prior,0.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,704.0
crf,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,648.0
vigilance,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,648.0
within,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,648.0
possible,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,632.0
incidence,0.0,0.0,0.0,136.0,248.0,0.0,0.0,248.0,632.0
email,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,624.0
m12,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0
assessment,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,592.0
evaluate,0.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,584.0
additional,0.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0,568.0
according,0.0,0.0,0.0,0.0,344.0,224.0,0.0,0.0,568.0
reason,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,560.0
survival,0.0,120.0,0.0,224.0,200.0,0.0,0.0,0.0,544.0
medical,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,528.0
endpoint,0.0,0.0,0.0,0.0,184.0,0.0,0.0,336.0,520.0
m6,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,520.0
send,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,520.0
aphp,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,504.0
test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,504.0
quality,0.0,0.0,0.0,120.0,0.0,0.0,376.0,0.0,496.0
participants,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,496.0
premature,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,488.0
hospital,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,488.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,464.0
m3,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,464.0
code,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,440.0
analyses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,440.0
infection,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,440.0
effect,0.0,0.0,0.0,224.0,0.0,0.0,0.0,208.0,432.0
events,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0,432.0
24,0.0,0.0,0.0,96.0,312.0,0.0,0.0,0.0,408.0
probability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0
least,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,400.0
based,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0
grade,0.0,0.0,0.0,96.0,296.0,0.0,0.0,0.0,392.0
endpoints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0
